date,new_case
01-05-2022,1
02-05-2022,1
03-05-2022,1
04-05-2022,1
05-05-2022,1
06-05-2022,1
07-05-2022,1
08-05-2022,1
09-05-2022,1
10-05-2022,1
11-05-2022,1
12-05-2022,1
13-05-2022,4
14-05-2022,2
15-05-2022,1
16-05-2022,5
17-05-2022,3
18-05-2022,5
19-05-2022,18
20-05-2022,57
21-05-2022,26
22-05-2022,21
23-05-2022,35
24-05-2022,28
25-05-2022,47
26-05-2022,51
27-05-2022,25
28-05-2022,1
29-05-2022,1
30-05-2022,156
31-05-2022,58
01-06-2022,81
02-06-2022,91
03-06-2022,183
04-06-2022,42
05-06-2022,4
06-06-2022,93
07-06-2022,55
08-06-2022,112
09-06-2022,71
10-06-2022,197
11-06-2022,11
12-06-2022,9
13-06-2022,197
14-06-2022,165
15-06-2022,199
16-06-2022,138
17-06-2022,467
18-06-2022,22
19-06-2022,22
20-06-2022,332
21-06-2022,217
22-06-2022,161
23-06-2022,350
24-06-2022,450
25-06-2022,66
26-06-2022,28
27-06-2022,186
28-06-2022,512
29-06-2022,187
30-06-2022,437
01-07-2022,276
02-07-2022,97
03-07-2022,19
04-07-2022,183
05-07-2022,852
06-07-2022,477
07-07-2022,297
08-07-2022,116
09-07-2022,174
10-07-2022,1145
11-07-2022,198
12-07-2022,514
13-07-2022,685
14-07-2022,326
15-07-2022,464
16-07-2022,475
17-07-2022,76
18-07-2022,692
19-07-2022,1147
20-07-2022,639
21-07-2022,800
22-07-2022,699
23-07-2022,352
24-07-2022,16
25-07-2022,389
26-07-2022,1281
27-07-2022,1099
28-07-2022,512
29-07-2022,1604
30-07-2022,338
31-07-2022,3
01-08-2022,1018
02-08-2022,1585
03-08-2022,847
04-08-2022,950
05-08-2022,534
06-08-2022,808
07-08-2022,449
08-08-2022,777
09-08-2022,1260
10-08-2022,1802
11-08-2022,1099
12-08-2022,1429
13-08-2022,599
14-08-2022,610
15-08-2022,297
16-08-2022,823
17-08-2022,1311
18-08-2022,1383
19-08-2022,1278
20-08-2022,835
21-08-2022,21
22-08-2022,466
23-08-2022,1121
24-08-2022,1658
25-08-2022,849
26-08-2022,1589
27-08-2022,826
28-08-2022,265
29-08-2022,47
30-08-2022,877
31-08-2022,1553
01-09-2022,660
02-09-2022,878
03-09-2022,703
04-09-2022,278
05-09-2022,1
06-09-2022,1181
07-09-2022,642
08-09-2022,1343
09-09-2022,841
10-09-2022,285
11-09-2022,552
12-09-2022,63
13-09-2022,357
14-09-2022,858
15-09-2022,1204
16-09-2022,677
17-09-2022,694
18-09-2022,160
19-09-2022,165
20-09-2022,556
21-09-2022,1702
22-09-2022,333
23-09-2022,437
24-09-2022,442
25-09-2022,118
26-09-2022,128
27-09-2022,870
28-09-2022,954
29-09-2022,367
30-09-2022,357
01-10-2022,185
02-10-2022,67
03-10-2022,9
04-10-2022,464
05-10-2022,1663
06-10-2022,243
07-10-2022,272
08-10-2022,72
09-10-2022,71
10-10-2022,20
11-10-2022,58
12-10-2022,872
13-10-2022,606
14-10-2022,177
15-10-2022,330
16-10-2022,34
17-10-2022,24
18-10-2022,63
19-10-2022,1277
20-10-2022,173
21-10-2022,140
22-10-2022,336
23-10-2022,184
24-10-2022,12
25-10-2022,137
26-10-2022,656
27-10-2022,100
28-10-2022,241
29-10-2022,143
30-10-2022,21
31-10-2022,20
01-11-2022,151
02-11-2022,484
03-11-2022,303
04-11-2022,235
05-11-2022,153
06-11-2022,1
07-11-2022,10
08-11-2022,285
09-11-2022,312
10-11-2022,243
11-11-2022,183
12-11-2022,23
13-11-2022,74
14-11-2022,1
15-11-2022,213
16-11-2022,372
17-11-2022,209
18-11-2022,60
19-11-2022,203
20-11-2022,59
21-11-2022,1
22-11-2022,126
23-11-2022,213
24-11-2022,236
25-11-2022,73
26-11-2022,6
27-11-2022,1
28-11-2022,1
29-11-2022,213
30-11-2022,257
01-12-2022,30
02-12-2022,173
03-12-2022,319
04-12-2022,13
05-12-2022,1
06-12-2022,27
07-12-2022,86
08-12-2022,308
09-12-2022,108
10-12-2022,27
11-12-2022,1
12-12-2022,4
13-12-2022,72
14-12-2022,96
15-12-2022,32
16-12-2022,38
17-12-2022,35
18-12-2022,5
19-12-2022,1
20-12-2022,137
21-12-2022,164
22-12-2022,32
23-12-2022,67
24-12-2022,70
25-12-2022,1
26-12-2022,1
27-12-2022,23
28-12-2022,158
29-12-2022,133
30-12-2022,65
31-12-2022,142
01-01-2023,3
02-01-2023,4
03-01-2023,75
04-01-2023,38
05-01-2023,125
06-01-2023,104
07-01-2023,23
08-01-2023,16
09-01-2023,1
10-01-2023,54
11-01-2023,68
12-01-2023,75
13-01-2023,93
14-01-2023,12
15-01-2023,1
16-01-2023,1
17-01-2023,83
18-01-2023,79
19-01-2023,33
20-01-2023,60
21-01-2023,86
22-01-2023,2
23-01-2023,1
24-01-2023,51
25-01-2023,22
26-01-2023,162
27-01-2023,58
28-01-2023,23
29-01-2023,26
30-01-2023,1
31-01-2023,43
01-02-2023,55
02-02-2023,1
03-02-2023,42
04-02-2023,36
05-02-2023,1
06-02-2023,1
07-02-2023,21
08-02-2023,54
09-02-2023,61
10-02-2023,21
11-02-2023,80
12-02-2023,10
13-02-2023,1
14-02-2023,21
15-02-2023,22
16-02-2023,4
17-02-2023,105
18-02-2023,2
19-02-2023,1
20-02-2023,1
21-02-2023,5
22-02-2023,29
23-02-2023,71
24-02-2023,13
25-02-2023,38
26-02-2023,1
27-02-2023,1
28-02-2023,58
01-03-2023,25
02-03-2023,1
03-03-2023,40
04-03-2023,31
05-03-2023,19
06-03-2023,1
07-03-2023,17
08-03-2023,18
09-03-2023,2
10-03-2023,68
11-03-2023,34
12-03-2023,1
13-03-2023,1
14-03-2023,23
15-03-2023,30
16-03-2023,11
17-03-2023,13
18-03-2023,27
19-03-2023,1
20-03-2023,13
21-03-2023,4
22-03-2023,12
23-03-2023,17
24-03-2023,10
